event_id,sample_btc,p_coprec_ugL,conc_corr_ugL,sigma_label,sigma_molm2,p_coprec_ugL_sens,frac_of_srp_sens
RA_20230906_P,22,0.045377630282388906,6.6207,field_low,5.5e-8,0.045377630282388906,0.00685390219801364
RA_20230906_P,22,0.045377630282388906,6.6207,lab_ceiling,1.5e-7,0.12375717349742428,0.018692460540037197
RA_20230906_P,23,0.04497850623162816,6.5141,field_high,9.5e-8,0.07769014712735774,0.011926459085270066
RA_20230906_P,23,0.04497850623162816,6.5141,field_low,5.5e-8,0.04497850623162816,0.006904792101998459
RA_20230906_P,23,0.04497850623162816,6.5141,lab_ceiling,1.5e-7,0.12266865335898589,0.018831251187268524
RA_20230906_P,24,0.026184177197416787,1.5412,field_high,9.5e-8,0.04522721515917445,0.029345454943663675
RA_20230906_P,24,0.026184177197416787,1.5412,field_low,5.5e-8,0.026184177197416787,0.016989473914752654
RA_20230906_P,24,0.026184177197416787,1.5412,lab_ceiling,1.5e-7,0.07141139235659123,0.04633492885841632
RA_20231005_downstream,3,0.031031414388688738,4.2273,field_high,9.5e-8,0.05359971576228055,0.012679420850727546
RA_20231005_downstream,3,0.031031414388688738,4.2273,field_low,5.5e-8,0.031031414388688738,0.0073407173346317365
RA_20231005_downstream,3,0.031031414388688738,4.2273,lab_ceiling,1.5e-7,0.08463113015096928,0.02002013818535928
RA_20231005_downstream,4,0.032361864812018866,4.6708,field_high,9.5e-8,0.055897766493487135,0.011967493040482816
RA_20231005_downstream,4,0.032361864812018866,4.6708,field_low,5.5e-8,0.032361864812018866,0.0069285486023847875
RA_20231005_downstream,4,0.032361864812018866,4.6708,lab_ceiling,1.5e-7,0.08825963130550599,0.018896041642867602
RA_20231005_downstream,5,0.027512858124492053,3.0582,field_high,9.5e-8,0.047522209487759,0.015539274569275719
RA_20231005_downstream,5,0.027512858124492053,3.0582,field_low,5.5e-8,0.027512858124492053,0.008996422119054364
RA_20231005_downstream,5,0.027512858124492053,3.0582,lab_ceiling,1.5e-7,0.07503506761225105,0.024535696688330083
RA_20231005_downstream,6,0.027130890838622954,2.9316,field_high,9.5e-8,0.04686244781216692,0.01598528032888761
RA_20231005_downstream,6,0.027130890838622954,2.9316,field_low,5.5e-8,0.027130890838622954,0.009254635979882301
RA_20231005_downstream,6,0.027130890838622954,2.9316,lab_ceiling,1.5e-7,0.07399333865078987,0.02523991630876991
RA_20231005_downstream,7,0.008337658863867113,-3.2191,field_high,9.5e-8,0.014401410764861377,-0.004473738238905712
RA_20231005_downstream,7,0.008337658863867113,-3.2191,field_low,5.5e-8,0.008337658863867113,-0.0025900589804190963
RA_20231005_downstream,7,0.008337658863867113,-3.2191,lab_ceiling,1.5e-7,0.022739069628728487,-0.007063797219324807
RA_20231005_downstream,8,0.017112636090792346,-0.366,field_high,9.5e-8,0.0295581896113686,-0.08076008090537869
RA_20231005_downstream,8,0.017112636090792346,-0.366,field_low,5.5e-8,0.017112636090792346,-0.04675583631364029
RA_20231005_downstream,8,0.017112636090792346,-0.366,lab_ceiling,1.5e-7,0.04667082570216094,-0.12751591721901898
RA_20231005_downstream,9,0.31387596243329385,120.0436,field_high,9.5e-8,0.5421493896575076,0.004516270668802899
RA_20231005_downstream,9,0.31387596243329385,120.0436,field_low,5.5e-8,0.31387596243329385,0.002614683018780625
RA_20231005_downstream,9,0.31387596243329385,120.0436,lab_ceiling,1.5e-7,0.8560253520908013,0.007130953687583523
RA_20231005_downstream,10,0.05552069771787137,12.5172,field_high,9.5e-8,0.09589938696723237,0.007661408858788896
