stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
RA,20231005,12,7.263646520401754e-12,1.0428030577607479e-7,1.1217266348369738e-8
RA,20231005,13,3.524088269939916e-12,5.0593458993222856e-8,5.442257776180317e-9
RA,20231005,14,1.184522408812615e-10,1.7005557558816901e-6,1.8292607326008333e-7
RA,20231005,15,4.165400082723457e-12,5.98004312415334e-8,6.4326371119786015e-9
RA,20231005,16,4.889975263128928e-11,7.020277132763352e-7,7.55160026157534e-8
RA,20231005,17,4.821244897239064e-12,6.921604605803711e-8,7.445459796418869e-9
RA,20231005,18,6.9222775007666995e-12,9.937945251318e-8,1.0690089371134873e-8
RA,20231005,19,4.2102098211134935e-12,6.044374079795732e-8,6.501836896014073e-9
RA,20231005,20,2.7401873563016195e-11,3.933941094136028e-7,4.231677757685051e-8
RA,20231005,21,4.292109317448046e-12,6.161952826182739e-8,6.6283144801863815e-9
RA,20231005,22,6.654539279673724e-12,9.553567742237705e-8,1.0276620608688492e-8
RA,20231005,23,4.9952584400665086e-12,7.171426584396088e-8,7.71418931851728e-9
RA,20231005,24,6.263638386518915e-12,8.992372142316542e-8,9.672951443067979e-9
RA,20231005,25,6.6001861304994386e-12,9.475535819843568e-8,1.0192682913007869e-8
RA,20231005,26,6.3473136884337755e-12,9.1125003182276e-8,9.802171407960671e-9
RA,20231005,27,6.230647798694447e-12,8.945009311864833e-8,9.622004000956508e-9
RA,20231005,28,5.964134098456477e-12,8.562389782180019e-8,9.210426268936924e-9
RA,20231005,29,8.393327423651746e-12,1.2049853303829349e-7,1.2961835215374787e-8
RA,20231005,30,4.56904804631163e-12,6.559539014415043e-8,7.0559916083500965e-9
RC,20231007,2,3.1164929732956993e-11,3.6906566465168095e-7,3.349433669189124e-8
RC,20231007,3,6.827016465205859e-12,8.084784374324027e-8,7.337298368584989e-9
